Step Size,Acceptance Probability,Dense Mass Matrix,Autocorrolation Length,Number Effective Samples,GR Statistic,Time per iteration,Time per Effective Sample
0.05,0.65,False,1.2704839179674035,1574.2033186848364,1.0011877003676022,0.00877926540374756,0.011153915507028876
0.05,0.65,True,0.876184124539451,2282.6252427835993,1.0008607048154397,0.001637437661488851,0.0014346968839195349
0.05,0.75,False,1.3177952545534373,1517.686448702338,1.0016126296224945,0.010329975287119547,0.01361279241302042
0.05,0.75,True,1.165642804217175,1715.7914866923272,1.0006959178302208,0.0018752914269765217,0.0021859199576653404
0.05,0.85,False,1.3401028280804814,1492.4227888278792,1.001159461032581,0.010932778596878051,0.014651047516454034
0.05,0.85,True,1.2900108787537299,1550.3745223700637,1.000972422051866,0.001982668081919352,0.0025576633946337553
0.05,0.9,False,1.165947748887131,1715.3427346199276,1.0013397660053367,0.012257450660069783,0.014291547004203441
0.05,0.9,True,1.3687813757508032,1461.1537206976982,1.0015023808509518,0.002032993714014689,0.0027827239327617606
0.1,0.65,False,1.1902788579814187,1680.2785217841965,1.0013548990886427,0.008605122963587442,0.010242495933888544
0.1,0.65,True,1.4412020195903306,1387.7305005224116,1.0005638729554838,0.0016722716490427652,0.0024100812779040857
0.1,0.75,False,1.2190177779838587,1640.6651618385852,1.001946019139152,0.009946590662002564,0.012125070847309363
0.1,0.75,True,0.9739836579209967,2053.4225433197435,1.0010774455939537,0.0017817266782124838,0.0017353726674608214
0.1,0.85,False,1.1981777870353847,1669.2013669762148,1.0016673117861223,0.010844951391220093,0.012994179858438407
0.1,0.85,True,1.4025494311012547,1425.9746969699588,1.0008779642925894,0.0019853593508402504,0.00278456462805255
0.1,0.9,False,1.1552410094703767,1731.2404802153842,1.0014188164960058,0.011563557227452595,0.013358695524510805
0.1,0.9,True,1.337918243660482,1494.8596519082462,1.0009203597935576,0.002109475374221802,0.0028223055877238707
0.5,0.65,False,1.2625077666137037,1584.1486705181994,1.0015420737009655,0.008164624055226643,0.01030790128120471
0.5,0.65,True,1.1107407716957527,1800.6001498861228,1.0007122248776663,0.001591986338297526,0.0017682841339296896
0.5,0.75,False,1.3229647173451782,1511.7561139600482,1.0010602808072737,0.009927432378133138,0.013133642770100274
0.5,0.75,True,1.0111454109966416,1977.9548799303632,1.0006684950289157,0.0018522393703460692,0.0018728833393927369
0.5,0.85,False,1.3396127318981845,1492.9687904399577,1.0017703621394733,0.010829980691274006,0.01450798002024216
0.5,0.85,True,1.4001604170335589,1428.4077564749955,1.0009821020034486,0.0019647039572397865,0.002750900712116343
0.5,0.9,False,1.1484963648525919,1741.407340245868,1.0023255088783514,0.011966870387395221,0.01374390713858554
0.5,0.9,True,1.7143352686002569,1166.6329431774373,1.0006375014716078,0.0020932090282440186,0.003588462061671192
1.0,0.65,False,1.1029882824463981,1813.2558902294538,1.0010192626852077,0.008555363098780314,0.009436465250028992
1.0,0.65,True,1.143740820320108,1748.6479143415058,1.0006833398537043,0.0017802193959554036,0.0020361095922798006
1.0,0.75,False,1.3912701933298548,1437.5352893985432,1.0013012310487648,0.00943512503306071,0.013126808228837725
1.0,0.75,True,1.3235895419346368,1511.04246190755,1.0009797930476443,0.0017326910495758057,0.002293371752622286
1.0,0.85,False,1.3233843357616786,1511.276766661208,1.0019999389082,0.011354572375615437,0.015026463221161739
1.0,0.85,True,2.2057372542525617,906.726309375285,1.0015215508213673,0.00205448842048645,0.004531661647497465
1.0,0.9,False,1.3165003237934263,1519.1792693503526,1.0009785839735037,0.012315909306208291,0.01621389858943369
1.0,0.9,True,1.5407216306490132,1298.0930235642375,1.000587724017718,0.0019835333029429116,0.003056072664956826
5.0,0.65,False,1.1792235880230144,1696.0312024906398,1.0011542092912333,0.008304529349009195,0.009792896895781052
5.0,0.65,True,1.5432587033450256,1295.9589961585727,1.00120109742362,0.0016075503826141358,0.002480866119034891
5.0,0.75,False,1.222300688348467,1636.2585892856978,1.000927153771842,0.010167685985565186,0.012427969579067388
5.0,0.75,True,1.2393838820114045,1613.705026366961,1.0006604304223625,0.001721625248591105,0.002133754583967693
5.0,0.85,False,1.2096313864340444,1653.396251477847,1.0021490734657243,0.011731520334879557,0.014190815207659543
5.0,0.85,True,1.118561952236449,1788.0100391410658,1.001557484880397,0.0019116249879201253,0.0021382709784319135
5.0,0.9,False,1.2479886837988912,1602.5786338959247,1.0018487393289082,0.0123626070022583,0.015428393641071292
5.0,0.9,True,1.1424355884047408,1750.6457434442616,1.0007315619389805,0.0020879615942637126,0.002385361632509165
